"Method","Path","File","Protected","Pattern"
"POST","/api/v1/bulk-search","src\routes\user\lookupRoutes.js","False","express"
"GET","/api/v1/categories/list","src\routes\pharmacy\inventoryRoutes.js","False","express"
"USE","/api/v1/category","src\routes\pharmacy\index.js","False","express"
"GET","/api/v1/comparison","src\routes\department\departmentStatsRoutes.js","False","express"
"GET","/api/v1/consultations/:phoneNumber","src\routes\record\patientRoutes.js","False","express"
"USE","/api/v1/debug","src\routes\infrastructure\index.js","False","express"
"GET","/api/v1/debug/debugRoutes","src\routes\debugRoutes.js","True","wrapAutoRBAC"
"USE","/api/v1/departments","src\app.js","False","express"
"DELETE","/api/v1/departments/:departmentId","src\routes\department\departmentRoutes.js","False","express"
"PUT","/api/v1/departments/:id/deactivate","src\routes\department\adminDepartmentRoutes.js, src\routes\department\departmentRoutes.js","False","express"
"GET","/api/v1/departments/:id/export/report","src\routes\department\adminDepartmentRoutes.js","False","express"
"GET","/api/v1/departments/:id/financial","src\routes\department\adminDepartmentRoutes.js","False","express"
"GET","/api/v1/departments/:id/history","src\routes\department\adminDepartmentRoutes.js","False","express"
"GET","/api/v1/departments/:id/staff-allocation","src\routes\department\adminDepartmentRoutes.js","False","express"
"GET","/api/v1/departments/:identifier","src\routes\department\departmentRoutes.js, src\routes\user\userRoutes.js","False","express"
"GET","/api/v1/departments/activities/recent","src\routes\department\adminDepartmentRoutes.js","False","express"
"GET","/api/v1/departments/available/now","src\routes\department\departmentRoutes.js, src\routes\doctor\doctorRoutes.js","False","express"
"POST","/api/v1/departments/bulk-operations","src\routes\department\adminDepartmentRoutes.js, src\routes\doctor\adminDoctorRoutes.js, src\routes\notification\adminNotificationRoutes.js","False","express"
"POST","/api/v1/departments/create","src\routes\department\adminDepartmentRoutes.js, src\routes\department\departmentRoutes.js, src\routes\doctor\adminDoctorRoutes.js, src\routes\notification\notificationRoutes.js, src\routes\record\doctorRoutes.js","False","express"
"GET","/api/v1/departments/departments-with-doctors","src\routes\department\departmentRoutes.js","False","express"
"GET","/api/v1/departments/export/csv","src\routes\department\adminDepartmentRoutes.js","False","express"
"GET","/api/v1/departments/manage","src\routes\department\adminDepartmentRoutes.js, src\routes\doctor\adminDoctorRoutes.js, src\routes\notification\adminNotificationRoutes.js","False","express"
"GET","/api/v1/departments/overview","src\routes\department\adminDepartmentRoutes.js, src\routes\doctor\adminDoctorRoutes.js, src\routes\notification\adminNotificationRoutes.js","False","express"
"USE","/api/v1/devices","src\app.js","False","express"
"GET","/api/v1/doctor/:doctor_id","src\routes\appointment\appointmentListRoutes.js, src\routes\record\medicalStaffRoutes.js","False","express"
"USE","/api/v1/doctors","src\app.js","False","express"
"DELETE","/api/v1/doctors/:doctorId","src\routes\doctor\adminDoctorRoutes.js, src\routes\doctor\doctorRoutes.js","False","express"
"GET","/api/v1/doctors/:doctorId","src\routes\doctor\doctorRoutes.js","False","express"
"DELETE","/api/v1/doctors/:id/account","src\routes\doctor\adminDoctorRoutes.js","False","express"
"PUT","/api/v1/doctors/:id/availability","src\routes\doctor\adminDoctorRoutes.js, src\routes\doctor\doctorRoutes.js","False","express"
"DELETE","/api/v1/doctors/:id/deactivate","src\routes\doctor\doctorRoutes.js","False","express"
"PUT","/api/v1/doctors/:id/profile","src\routes\doctor\adminDoctorRoutes.js, src\routes\doctor\doctorRoutes.js","False","express"
"GET","/api/v1/doctors/department/:department","src\routes\doctor\doctorRoutes.js, src\routes\user\userRoutes.js","False","express"
"POST","/api/v1/doctors/profile","src\routes\doctor\doctorRoutes.js, src\routes\user\userRoutes.js","False","express"
"GET","/api/v1/doctors/profile/:id","src\routes\doctor\doctorRoutes.js","False","express"
"GET","/api/v1/doctors/workload-analysis","src\routes\doctor\adminDoctorRoutes.js","False","express"
"USE","/api/v1/feedback","src\app.js","False","express"
"USE","/api/v1/firebase","src\routes\auth\index.js","False","express"
"USE","/api/v1/health","src\app.js","False","express"
"GET","/api/v1/health-check","src\routes\health\publicRoutes.js","False","express"
"POST","/api/v1/health-records","src\routes\record\patientRoutes.js","False","express"
"GET","/api/v1/health-records/:phone","src\routes\record\patientRoutes.js","False","express"
